system,RB,RB2,XB,XB2,VB,VB2,PB,PB2,EB,EB2,NB,NB2,RA,IA,VA,PA,EA,NA,RX,XX,VX,PX,EX,AX,NX,BEAX,BEBX,BEB2X,Bandgap
Na2AgYBr6,1.086666667,1.04,1.93,1.22,11,3,6.78,22.7,2.962960005,4.416880007,47,39,1.16,5.156320008,1,24.11,1.118000002,11,0.8825,2.96,7,3.05,1.163240002,3.3635882,35,-3.629490255,-2.710961454,-4.561803061,2.5288
Na2CsYBr6,1.81,1.04,0.79,1.22,1,3,59.42,22.7,0.795600001,4.416880007,55,39,1.16,5.156320008,1,24.11,1.118000002,11,0.8825,2.96,7,3.05,1.163240002,3.3635882,35,-3.629490255,-3.864613159,-4.561803061,2.8469
Li2RbYBr6,1.66,1.04,0.82,1.22,1,3,47.24,22.7,0.841360001,4.416880007,37,39,0.9,5.410080009,1,24.33,1.656720003,3,0.8825,2.96,7,3.05,1.163240002,3.3635882,35,-4.273256801,-3.75,-4.561803061,2.9337
Na2RbYBr6,1.66,1.04,0.82,1.22,1,3,47.24,22.7,0.841360001,4.416880007,37,39,1.16,5.156320008,1,24.11,1.118000002,11,0.8825,2.96,7,3.05,1.163240002,3.3635882,35,-3.629490255,-3.75,-4.561803061,2.9397
Cs2AgYBr6,1.086666667,1.04,1.93,1.22,11,3,6.78,22.7,2.962960005,4.416880007,47,39,1.81,3.907280006,1,59.42,0.795600001,55,0.8825,2.96,7,3.05,1.163240002,3.3635882,35,-3.864613159,-2.710961454,-4.561803061,3.1563
K2RbYBr6,1.66,1.04,0.82,1.22,1,3,47.24,22.7,0.841360001,4.416880007,37,39,1.52,4.355520007,1,43.06,0.925600001,19,0.8825,2.96,7,3.05,1.163240002,3.3635882,35,-3.709164607,-3.75,-4.561803061,3.711
Cs2AgYCl6,1.086666667,1.04,1.93,1.22,11,3,6.78,22.7,2.962960005,4.416880007,47,39,1.81,3.907280006,1,59.42,0.795600001,55,0.78,3.16,7,2.18,1.261540802,3.612725,17,-4.169720578,-2.931950148,-5.206296412,3.7129
Rb2CsYBr6,1.81,1.04,0.79,1.22,1,3,59.42,22.7,0.795600001,4.416880007,55,39,1.66,4.191200007,1,47.24,0.841360001,37,0.8825,2.96,7,3.05,1.163240002,3.3635882,35,-3.75,-3.864613159,-4.561803061,3.7671
Li2LiYCl6,0.9,1.04,0.98,1.22,1,3,24.33,22.7,1.656720003,4.416880007,3,39,0.9,5.410080009,1,24.33,1.656720003,3,0.78,3.16,7,2.18,1.261540802,3.612725,17,-4.684686849,-4.684686849,-5.206296412,3.8775
K2NaYBr6,1.16,1.04,0.93,1.22,1,3,24.11,22.7,1.118000002,4.416880007,11,39,1.52,4.355520007,1,43.06,0.925600001,19,0.8825,2.96,7,3.05,1.163240002,3.3635882,35,-3.709164607,-3.629490255,-4.561803061,3.9406
Rb2NaYBr6,1.16,1.04,0.93,1.22,1,3,24.11,22.7,1.118000002,4.416880007,11,39,1.66,4.191200007,1,47.24,0.841360001,37,0.8825,2.96,7,3.05,1.163240002,3.3635882,35,-3.75,-3.629490255,-4.561803061,4.1112
Cs2RbYBr6,1.66,1.04,0.82,1.22,1,3,47.24,22.7,0.841360001,4.416880007,37,39,1.81,3.907280006,1,59.42,0.795600001,55,0.8825,2.96,7,3.05,1.163240002,3.3635882,35,-3.864613159,-3.75,-4.561803061,4.1795
Cs2NaYBr6,1.16,1.04,0.93,1.22,1,3,24.11,22.7,1.118000002,4.416880007,11,39,1.81,3.907280006,1,59.42,0.795600001,55,0.8825,2.96,7,3.05,1.163240002,3.3635882,35,-3.864613159,-3.629490255,-4.561803061,4.2034
K2CsYCl6,1.81,1.04,0.79,1.22,1,3,59.42,22.7,0.795600001,4.416880007,55,39,1.52,4.355520007,1,43.06,0.925600001,19,0.78,3.16,7,2.18,1.261540802,3.612725,17,-3.99502,-4.169720578,-5.206296412,4.2609
K2RbYCl6,1.66,1.04,0.82,1.22,1,3,47.24,22.7,0.841360001,4.416880007,37,39,1.52,4.355520007,1,43.06,0.925600001,19,0.78,3.16,7,2.18,1.261540802,3.612725,17,-3.99502,-4.016865235,-5.206296412,4.4277
Cs2LiYCl6,0.9,1.04,0.98,1.22,1,3,24.33,22.7,1.656720003,4.416880007,3,39,1.81,3.907280006,1,59.42,0.795600001,55,0.78,3.16,7,2.18,1.261540802,3.612725,17,-4.169720578,-4.684686849,-5.206296412,4.9098
K2LiYCl6,0.9,1.04,0.98,1.22,1,3,24.33,22.7,1.656720003,4.416880007,3,39,1.52,4.355520007,1,43.06,0.925600001,19,0.78,3.16,7,2.18,1.261540802,3.612725,17,-3.99502,-4.684686849,-5.206296412,4.9285
Li2KYBr6,1.52,1.04,0.82,1.22,1,3,43.06,22.7,0.925600001,4.416880007,19,39,0.9,5.410080009,1,24.33,1.656720003,3,0.8825,2.96,7,3.05,1.163240002,3.3635882,35,-4.273256801,-3.709164607,-4.561803061,2.986
Na2KYBr6,1.52,1.04,0.82,1.22,1,3,43.06,22.7,0.925600001,4.416880007,19,39,1.16,5.156320008,1,24.11,1.118000002,11,0.8825,2.96,7,3.05,1.163240002,3.3635882,35,-3.629490255,-3.709164607,-4.561803061,3.0049
